id,Label,Number_Points,Coord-0,Coord-1,hour,trip_seconds
0,0,3,21,1,0.913043,0.053952
1,1,4,8,2,0.347826,0.101631
2,2,6,21,0,0.913043,0.030113
3,3,3,11,0,0.478261,0.041405
4,4,4,8,0,0.347826,0.024467
5,5,2,11,1,0.478261,0.075282
6,6,7,19,3,0.826087,0.145725
7,7,3,18,3,0.782609,0.144291
8,8,3,20,0,0.869565,0.031368
9,9,2,18,2,0.782609,0.090339
10,10,1,3,1,0.130435,0.079046
11,11,1,16,10,0.695652,0.425345
12,12,4,16,2,0.695652,0.103513
13,13,3,14,0,0.608696,0.016311
14,14,3,16,4,0.695652,0.194479
15,15,5,19,4,0.826087,0.191970
16,16,6,12,2,0.521739,0.101631
17,17,2,4,3,0.173913,0.143036
18,18,4,15,0,0.652174,0.022585
19,19,3,21,2,0.913043,0.099122
20,20,4,16,6,0.695652,0.269134
21,21,9,8,1,0.347826,0.059808
22,22,3,7,0,0.304348,0.041405
23,23,3,16,1,0.695652,0.063990
24,24,3,20,2,0.869565,0.099122
25,25,4,18,4,0.782609,0.175031
26,26,3,13,1,0.565217,0.058971
27,27,1,15,2,0.652174,0.094103
28,28,2,17,2,0.739130,0.105395
29,29,4,13,2,0.565217,0.112923
30,30,3,22,2,0.956522,0.109159
31,31,1,10,10,0.434783,0.455458
32,32,1,8,4,0.347826,0.176913
33,33,1,14,9,0.608696,0.402760
34,34,1,21,7,0.913043,0.297365
35,35,2,3,2,0.130435,0.120452
36,36,2,4,2,0.173913,0.094103
37,37,5,20,1,0.869565,0.068507
38,38,2,7,7,0.304348,0.312422
39,39,2,9,2,0.391304,0.109159
40,40,1,24,1,1.000000,0.056462
41,41,4,12,0,0.521739,0.026349
42,42,5,4,1,0.173913,0.056462
43,43,6,15,5,0.652174,0.222083
44,44,5,12,1,0.521739,0.054956
45,45,2,6,1,0.260870,0.063990
46,46,4,15,4,0.652174,0.180678
47,47,7,10,1,0.434783,0.065065
48,48,2,3,4,0.130435,0.169385
49,49,2,17,5,0.739130,0.218319
50,50,7,14,1,0.608696,0.055386
51,51,1,16,7,0.695652,0.297365
52,52,2,18,5,0.782609,0.237139
53,53,1,14,7,0.608696,0.304893
54,54,2,13,7,0.565217,0.301129
55,55,1,16,8,0.695652,0.342535
56,56,1,22,3,0.956522,0.131744
57,57,1,13,3,0.565217,0.154329
58,58,2,7,1,0.304348,0.071518
59,59,1,14,3,0.608696,0.139272
60,60,1,12,4,0.521739,0.176913
61,61,3,11,2,0.478261,0.099122
62,62,1,21,6,0.913043,0.282309
63,63,3,16,0,0.695652,0.033877
64,64,3,13,8,0.565217,0.342535
65,65,1,3,3,0.130435,0.146801
66,66,1,13,11,0.565217,0.478043
67,67,2,15,1,0.652174,0.052698
68,68,5,19,1,0.826087,0.073024
69,69,1,6,5,0.260870,0.214555
70,70,1,12,3,0.521739,0.139272
71,71,7,17,4,0.739130,0.191970
72,72,1,8,12,0.347826,0.538269
73,73,2,9,0,0.391304,0.026349
74,74,5,16,3,0.695652,0.146801
75,75,2,13,4,0.565217,0.188206
76,76,1,20,6,0.869565,0.267252
77,77,2,21,3,0.913043,0.146801
78,78,3,7,2,0.304348,0.104141
79,79,2,19,2,0.826087,0.105395
80,80,4,14,6,0.608696,0.259724
81,81,2,5,1,0.217391,0.071518
82,82,1,5,4,0.217391,0.199498
83,83,1,10,2,0.434783,0.086575
84,84,2,19,0,0.826087,0.030113
85,85,2,6,2,0.260870,0.094103
86,86,2,4,0,0.173913,0.033877
87,87,1,22,4,0.956522,0.184442
88,88,3,24,3,1.000000,0.144291
89,89,1,0,4,0.000000,0.176913
90,90,5,14,5,0.608696,0.231117
91,91,1,17,0,0.739130,0.033877
92,92,1,19,5,0.826087,0.237139
93,93,3,10,0,0.434783,0.031368
94,94,3,17,1,0.739130,0.061481
95,95,1,14,8,0.608696,0.350063
96,96,1,1,4,0.043478,0.207026
97,97,3,6,4,0.260870,0.184442
98,98,3,15,3,0.652174,0.149310
99,99,1,11,4,0.478261,0.207026
100,100,3,9,1,0.391304,0.063990
101,101,1,9,5,0.391304,0.244668
102,102,1,8,5,0.347826,0.214555
103,103,1,17,3,0.739130,0.131744
104,104,1,9,7,0.391304,0.327478
105,105,2,10,3,0.434783,0.139272
106,106,1,10,8,0.434783,0.342535
107,107,1,8,7,0.347826,0.297365
108,108,1,15,7,0.652174,0.312422
109,109,1,8,3,0.347826,0.139272
110,110,1,6,0,0.260870,0.033877
111,111,3,5,0,0.217391,0.021330
112,112,2,20,3,0.869565,0.146801
113,113,1,1,1,0.043478,0.071518
114,114,1,7,4,0.304348,0.207026
115,115,1,18,1,0.782609,0.071518
116,116,1,17,6,0.739130,0.282309
117,117,1,0,3,0.000000,0.146801
118,118,2,16,5,0.695652,0.240903
119,119,1,22,0,0.956522,0.033877
120,120,1,13,0,0.565217,0.033877
121,121,1,13,5,0.565217,0.222083
